Year;Sea level rise costs and impacts.Total fatalities due to coastal floods;Sea level rise costs and impacts.Total inundated or abandoned land[1];Sea level rise costs and impacts.Total SLR costs[1]
1980;0;17300;3.72
1981;3.74e-7;17400;3.99
1982;0.00000371;17500;4.55
1983;0.0000101;17500;5.12
1984;0.0000171;17600;5.55
1985;0.0000278;17600;6.12
1986;0.0000452;17700;6.82
1987;0.0000698;17800;7.61
1988;0.000102;17900;8.48
1989;0.000142;18000;9.45
1990;0.000193;18100;10.5
1991;0.000255;18200;11.7
1992;0.000317;18200;12.7
1993;0.000348;18300;13.3
1994;0.000384;18300;14.1
1995;0.000452;18400;15.4
1996;0.000546;18500;16.9
1997;0.000658;18600;18.6
1998;0.00079;18800;20.5
1999;0.000943;18900;22.6
2000;0.00112;19000;24.9
2001;0.00132;19200;27.4
2002;0.00154;19300;30
2003;0.00178;19500;32.8
2004;0.00205;19600;35.7
2005;0.00232;19700;38.7
2006;0.0026;19900;41.7
2007;0.0029;20000;44.8
2008;0.00321;20100;48.1
2009;0.00354;20300;51.5
2010;0.0039;20400;55.1
2011;0.0043;20600;58.9
2012;0.00473;20700;63.1
2013;0.0052;20900;67.5
2014;0.00571;21100;72.2
2015;0.00626;21300;77.3
2016;0.00686;21400;82.6
2017;0.00749;21600;88.3
2018;0.00817;21800;94.2
2019;0.00889;22000;100
2020;0.00966;22200;107
2021;0.0105;22400;114
2022;0.0113;22600;120
2023;0.0122;22900;128
2024;0.0132;23100;135
2025;0.0143;23300;143
2026;0.0154;23600;152
2027;0.0165;23800;160
2028;0.0177;24000;169
2029;0.019;24300;178
2030;0.0203;24600;187
2031;0.0217;24800;197
2032;0.0232;25100;207
2033;0.0247;25400;218
2034;0.0263;25700;229
2035;0.0279;26000;240
2036;0.0297;26300;253
2037;0.0316;26600;265
2038;0.0336;26900;279
2039;0.0356;27300;292
2040;0.0378;27600;306
2041;0.04;27900;321
2042;0.0423;28300;336
2043;0.0446;28700;351
2044;0.0471;29000;366
2045;0.0497;29400;382
2046;0.0523;29800;398
2047;0.0551;30200;415
2048;0.058;30600;433
2049;0.0611;31100;451
2050;0.0642;31500;469
2051;0.0675;32000;488
2052;0.0708;32400;507
2053;0.0742;32900;527
2054;0.0777;33400;547
2055;0.0813;33900;568
2056;0.0851;34400;590
2057;0.0889;34900;612
2058;0.0929;35400;635
2059;0.097;36000;659
2060;0.101;36500;684
2061;0.106;37100;709
2062;0.11;37700;734
2063;0.115;38300;760
2064;0.119;38900;786
2065;0.124;39500;812
2066;0.129;40100;839
2067;0.134;40800;867
2068;0.139;41500;895
2069;0.144;42100;924
2070;0.15;42900;953
2071;0.156;43600;984
2072;0.161;44300;1010
2073;0.167;45100;1050
2074;0.173;45900;1080
2075;0.179;46600;1110
2076;0.186;47500;1140
2077;0.192;48300;1170
2078;0.198;49100;1210
2079;0.205;50000;1240
2080;0.212;50900;1280
2081;0.219;51800;1310
2082;0.226;52800;1350
2083;0.233;53700;1390
2084;0.24;54700;1420
2085;0.248;55700;1460
2086;0.255;56700;1500
2087;0.263;57800;1540
2088;0.271;58900;1580
2089;0.279;60000;1610
2090;0.287;61100;1650
2091;0.296;62300;1700
2092;0.304;63500;1740
2093;0.313;64700;1780
2094;0.322;66000;1820
2095;0.331;67300;1870
2096;0.341;68600;1910
2097;0.35;69900;1950
2098;0.359;71300;2000
2099;0.369;72700;2040
2100;0.378;74100;2090
2101;0.388;75600;2130
2102;0.398;77100;2180
2103;0.408;78700;2230
2104;0.419;80300;2270
2105;0.429;81900;2320
2106;0.44;83600;2370
2107;0.45;85300;2410
2108;0.461;87100;2460
2109;0.471;88900;2510
2110;0.482;90700;2550
2111;0.493;92600;2600
2112;0.505;94600;2650
2113;0.517;96600;2700
2114;0.529;98600;2760
2115;0.541;101000;2810
2116;0.554;103000;2860
2117;0.566;105000;2920
2118;0.579;107000;2970
2119;0.591;110000;3020
2120;0.604;112000;3070
2121;0.616;114000;3130
2122;0.629;117000;3180
2123;0.642;119000;3240
2124;0.655;122000;3290
2125;0.668;125000;3350
2126;0.682;128000;3410
2127;0.695;130000;3460
2128;0.709;133000;3520
2129;0.722;136000;3570
Final;0.736;139000;3630
