Year;Sea level rise costs and impacts.Total fatalities due to coastal floods;Sea level rise costs and impacts.Total inundated or abandoned land[1];Sea level rise costs and impacts.Total SLR costs[1]
1980;0;17300;3.72
1981;2.18e-7;17400;56.5
1982;0.00000182;17400;63.4
1983;0.0000041;17400;69.4
1984;0.00000515;17400;74.5
1985;0.00000668;17500;79.4
1986;0.00000966;17500;85.1
1987;0.0000136;17500;91.8
1988;0.0000177;17500;99.7
1989;0.0000216;17500;108
1990;0.0000251;17600;118
1991;0.0000277;17600;128
1992;0.0000255;17500;138
1993;0.000013;17500;148
1994;0.00000404;17500;158
1995;7.81e-7;17500;170
1996;1.07e-7;17500;182
1997;1.46e-8;17500;195
1998;2e-9;17500;209
1999;2.74e-10;17500;223
2000;3.75e-11;17500;236
2001;5.12e-12;17500;249
2002;7.01e-13;17500;262
2003;9.58e-14;17500;276
2004;1.31e-14;17500;292
2005;1.79e-15;17500;308
2006;2.44e-16;17500;325
2007;3.33e-17;17500;342
2008;4.54e-18;17500;360
2009;6.2e-19;17500;378
2010;8.46e-20;17500;396
2011;1.15e-20;17500;416
2012;1.57e-21;17500;436
2013;2.14e-22;17500;454
2014;2.92e-23;17500;462
2015;3.97e-24;17500;471
2016;5.4e-25;17500;479
2017;7.36e-26;17500;486
2018;1e-26;17500;492
2019;1.36e-27;17500;496
2020;1.86e-28;17500;496
2021;2.53e-29;17500;494
2022;3.44e-30;17500;493
2023;4.68e-31;17500;492
2024;6.36e-32;17500;486
2025;8.65e-33;17500;484
2026;1.18e-33;17500;481
2027;1.6e-34;17500;477
2028;2.17e-35;17500;473
2029;2.95e-36;17500;470
2030;4.01e-37;17500;467
2031;5.45e-38;17500;465
2032;7.4e-39;17500;465
2033;1e-39;17500;466
2034;1.36e-40;17500;469
2035;1.85e-41;17500;474
2036;2.51e-42;17500;480
2037;3.4e-43;17500;486
2038;4.62e-44;17500;492
2039;6.27e-45;17500;496
2040;8.5e-46;17500;500
2041;1.15e-46;17500;503
2042;1.56e-47;17500;506
2043;2.12e-48;17500;511
2044;2.87e-49;17500;517
2045;3.89e-50;17500;524
2046;5.27e-51;17500;532
2047;7.14e-52;17500;542
2048;9.68e-53;17500;552
2049;1.31e-53;17500;561
2050;1.78e-54;17500;568
2051;2.41e-55;17500;574
2052;3.26e-56;17500;579
2053;4.41e-57;17500;585
2054;5.97e-58;17500;592
2055;8.07e-59;17500;600
2056;1.09e-59;17500;609
2057;1.48e-60;17500;621
2058;2e-61;17500;632
2059;2.7e-62;17500;643
2060;3.65e-63;17500;654
2061;4.94e-64;17500;663
2062;6.68e-65;17500;671
2063;9.03e-66;17500;679
2064;1.22e-66;17500;688
2065;1.65e-67;17500;697
2066;2.23e-68;17500;708
2067;3.01e-69;17500;720
2068;4.07e-70;17500;733
2069;5.5e-71;17500;745
2070;7.43e-72;17500;757
2071;1e-72;17500;767
2072;1.36e-73;17500;775
2073;1.84e-74;17500;783
2074;2.48e-75;17500;791
2075;3.35e-76;17500;800
2076;4.52e-77;17500;810
2077;6.1e-78;17500;820
2078;8.24e-79;17500;832
2079;1.11e-79;17500;845
2080;1.5e-80;17500;859
2081;2.03e-81;17500;872
2082;2.74e-82;17500;885
2083;3.7e-83;17500;897
2084;4.99e-84;17500;908
2085;6.74e-85;17500;920
2086;9.09e-86;17500;931
2087;1.23e-86;17500;942
2088;1.66e-87;17500;955
2089;2.24e-88;17500;967
2090;3.02e-89;17500;980
2091;4.08e-90;17500;995
2092;5.5e-91;17500;1010
2093;7.43e-92;17500;1020
2094;1e-92;17500;1040
2095;1.36e-93;17500;1050
2096;1.83e-94;17500;1050
2097;2.47e-95;17500;1060
2098;3.33e-96;17500;1070
2099;4.5e-97;17500;1080
2100;6.07e-98;17500;1100
2101;8.18e-99;17500;1110
2102;1.1e-99;17500;1130
2103;1.49e-100;17500;1140
2104;2.01e-101;17500;1150
2105;2.72e-102;17500;1170
2106;3.67e-103;17500;1180
2107;4.95e-104;17500;1190
2108;6.68e-105;17500;1210
2109;9e-106;17500;1220
2110;1.21e-106;17500;1240
2111;1.64e-107;17500;1260
2112;2.21e-108;17500;1270
2113;2.98e-109;17500;1290
2114;4.03e-110;17500;1300
2115;5.45e-111;17500;1310
2116;7.36e-112;17500;1330
2117;9.94e-113;17500;1340
2118;1.34e-113;17500;1350
2119;1.81e-114;17500;1360
2120;2.45e-115;17500;1370
2121;3.3e-116;17500;1390
2122;4.46e-117;17500;1400
2123;6.01e-118;17500;1420
2124;8.12e-119;17500;1440
2125;1.09e-119;17500;1450
2126;1.48e-120;17500;1470
2127;1.99e-121;17500;1490
2128;2.69e-122;17500;1500
2129;3.63e-123;17500;1520
Final;4.89e-124;17500;1540
