Year;Sea level rise costs and impacts.Total fatalities due to coastal floods;Sea level rise costs and impacts.Total inundated or abandoned land[1];Sea level rise costs and impacts.Total SLR costs[1]
1980;0;17300;3.72
1981;3.74e-7;17400;3.99
1982;0.00000371;17500;4.55
1983;0.0000101;17500;5.12
1984;0.0000171;17600;5.55
1985;0.0000278;17600;6.12
1986;0.0000452;17700;6.82
1987;0.0000698;17800;7.61
1988;0.000102;17900;8.48
1989;0.000142;18000;9.45
1990;0.000193;18100;10.5
1991;0.000255;18200;11.7
1992;0.000317;18200;12.7
1993;0.000348;18300;13.3
1994;0.000384;18300;14.1
1995;0.000452;18400;15.4
1996;0.000546;18500;16.9
1997;0.000658;18600;18.6
1998;0.00079;18800;20.5
1999;0.000943;18900;22.6
2000;0.00112;19000;24.9
2001;0.00132;19200;27.4
2002;0.00154;19300;30
2003;0.00178;19500;32.8
2004;0.00205;19600;35.7
2005;0.00232;19700;38.7
2006;0.0026;19900;41.7
2007;0.0029;20000;44.8
2008;0.00321;20100;48.1
2009;0.00354;20300;51.5
2010;0.0039;20400;55.1
2011;0.0043;20600;58.9
2012;0.00473;20700;63.1
2013;0.0052;20900;67.5
2014;0.00571;21100;72.2
2015;0.00626;21300;77.3
2016;0.00686;21400;82.6
2017;0.00749;21600;88.3
2018;0.00817;21800;94.2
2019;0.00889;22000;100
2020;0.00966;22200;107
2021;0.0105;22400;114
2022;0.0113;22600;120
2023;0.0122;22900;128
2024;0.0132;23100;135
2025;0.0143;23300;143
2026;0.0138;23000;935
2027;0.0117;23000;958
2028;0.0097;23000;979
2029;0.00788;23000;999
2030;0.00623;23000;1020
2031;0.00477;23000;1040
2032;0.00349;23000;1060
2033;0.00241;23000;1090
2034;0.00153;23000;1110
2035;0.00085;23000;1140
2036;0.000367;23000;1120
2037;0.0000846;23000;1070
2038;0.0000115;23000;1020
2039;0.00000155;23000;988
2040;2.1e-7;23000;958
2041;2.85e-8;23000;932
2042;3.86e-9;23000;910
2043;5.22e-10;23000;892
2044;7.07e-11;23000;877
2045;9.56e-12;23000;865
2046;1.29e-12;23000;857
2047;1.75e-13;23000;851
2048;2.37e-14;23000;847
2049;3.2e-15;23000;836
2050;4.33e-16;23000;818
2051;5.86e-17;23000;800
2052;7.93e-18;23000;784
2053;1.07e-18;23000;771
2054;1.45e-19;23000;760
2055;1.96e-20;23000;752
2056;2.65e-21;23000;747
2057;3.58e-22;23000;745
2058;4.84e-23;23000;744
2059;6.55e-24;23000;744
2060;8.85e-25;23000;744
2061;1.2e-25;23000;744
2062;1.62e-26;23000;744
2063;2.19e-27;23000;744
2064;2.95e-28;23000;746
2065;3.99e-29;23000;749
2066;5.39e-30;23000;754
2067;7.29e-31;23000;760
2068;9.85e-32;23000;768
2069;1.33e-32;23000;777
2070;1.8e-33;23000;784
2071;2.43e-34;23000;790
2072;3.29e-35;23000;795
2073;4.44e-36;23000;799
2074;6e-37;23000;805
2075;8.1e-38;23000;811
2076;1.09e-38;23000;818
2077;1.48e-39;23000;826
2078;1.99e-40;23000;836
2079;2.69e-41;23000;847
2080;3.64e-42;23000;859
2081;4.91e-43;23000;870
2082;6.64e-44;23000;881
2083;8.96e-45;23000;892
2084;1.21e-45;23000;902
2085;1.63e-46;23000;912
2086;2.2e-47;23000;922
2087;2.97e-48;23000;932
2088;4.01e-49;23000;943
2089;5.42e-50;23000;955
2090;7.32e-51;23000;967
2091;9.88e-52;23000;980
2092;1.34e-52;23000;993
2093;1.8e-53;23000;1010
2094;2.44e-54;23000;1020
2095;3.29e-55;23000;1030
2096;4.44e-56;23000;1040
2097;6e-57;23000;1040
2098;8.09e-58;23000;1050
2099;1.09e-58;23000;1060
2100;1.47e-59;23000;1080
2101;1.99e-60;23000;1090
2102;2.68e-61;23000;1100
2103;3.62e-62;23000;1120
2104;4.89e-63;23000;1130
2105;6.61e-64;23000;1140
2106;8.92e-65;23000;1150
2107;1.2e-65;23000;1170
2108;1.62e-66;23000;1180
2109;2.19e-67;23000;1200
2110;2.95e-68;23000;1210
2111;3.98e-69;23000;1230
2112;5.38e-70;23000;1240
2113;7.26e-71;23000;1260
2114;9.81e-72;23000;1270
2115;1.33e-72;23000;1280
2116;1.79e-73;23000;1290
2117;2.42e-74;23000;1310
2118;3.27e-75;23000;1320
2119;4.41e-76;23000;1330
2120;5.96e-77;23000;1340
2121;8.04e-78;23000;1350
2122;1.09e-78;23000;1370
2123;1.47e-79;23000;1380
2124;1.98e-80;23000;1400
2125;2.67e-81;23000;1420
2126;3.6e-82;23000;1430
2127;4.86e-83;23000;1450
2128;6.56e-84;23000;1470
2129;8.85e-85;23000;1480
Final;1.19e-85;23000;1500
