Year;Sea level rise costs and impacts.Total fatalities due to coastal floods;Sea level rise costs and impacts.Total inundated or abandoned land[1];Sea level rise costs and impacts.Total SLR costs[1]
1980;0;17300;3.72
1981;3.37e-7;173000;114
1982;0.00000301;277000;132
1983;0.00000741;355000;144
1984;0.0000113;416000;151
1985;0.0000165;466000;157
1986;0.0000241;507000;162
1987;0.0000335;542000;166
1988;0.0000439;571000;170
1989;0.0000551;597000;174
1990;0.0000671;619000;178
1991;0.0000794;638000;182
1992;0.0000884;655000;185
1993;0.0000868;670000;188
1994;0.0000859;683000;191
1995;0.0000907;695000;195
1996;0.0000979;705000;198
1997;0.000106;715000;202
1998;0.000113;724000;206
1999;0.00012;732000;210
2000;0.000126;739000;214
2001;0.000132;745000;217
2002;0.000136;751000;220
2003;0.000138;757000;224
2004;0.000139;762000;227
2005;0.000137;767000;231
2006;0.000133;772000;234
2007;0.000126;776000;238
2008;0.000118;780000;241
2009;0.000109;784000;245
2010;0.0000987;787000;249
2011;0.0000871;790000;253
2012;0.0000744;793000;257
2013;0.0000604;796000;261
2014;0.0000449;799000;266
2015;0.0000276;802000;271
2016;0.00000863;805000;276
2017;0;807000;281
2018;0;810000;286
2019;0;812000;290
2020;0;815000;294
2021;0;817000;298
2022;0;819000;302
2023;0;822000;306
2024;0;824000;311
2025;0;826000;316
2026;0;828000;321
2027;0;830000;326
2028;0;832000;331
2029;0;834000;336
2030;0;836000;341
2031;0;838000;346
2032;0;840000;351
2033;0;843000;357
2034;0;845000;363
2035;0;847000;369
2036;0;849000;375
2037;0;851000;381
2038;0;853000;387
2039;0;855000;393
2040;0;857000;399
2041;0;860000;405
2042;0;862000;411
2043;0;864000;418
2044;0;866000;424
2045;0;869000;431
2046;0;871000;438
2047;0;873000;445
2048;0;876000;452
2049;0;878000;460
2050;0;881000;466
2051;0;883000;473
2052;0;886000;480
2053;0;888000;486
2054;0;891000;494
2055;0;894000;501
2056;0;896000;510
2057;0;899000;518
2058;0;902000;527
2059;0;904000;536
2060;0;907000;544
2061;0;910000;552
2062;0;913000;561
2063;0;916000;569
2064;0;919000;577
2065;0;922000;586
2066;0;925000;595
2067;0;928000;605
2068;0;931000;615
2069;0;934000;624
2070;0;937000;634
2071;0;940000;642
2072;0;943000;651
2073;0;946000;660
2074;0;950000;668
2075;0;953000;677
2076;0;956000;687
2077;0;959000;697
2078;0;962000;707
2079;0;965000;717
2080;0;969000;728
2081;0;972000;738
2082;0;975000;748
2083;0;978000;758
2084;0;982000;768
2085;0;985000;778
2086;0;988000;789
2087;0;991000;799
2088;0;995000;809
2089;0;998000;819
2090;0;1e+06;829
2091;0;1e+06;839
2092;0;1.01e+06;849
2093;0;1.01e+06;859
2094;0;1.01e+06;868
2095;0;1.02e+06;876
2096;0;1.02e+06;884
2097;0;1.02e+06;892
2098;0;1.03e+06;900
2099;0;1.03e+06;908
2100;0;1.03e+06;918
2101;0;1.04e+06;927
2102;0;1.04e+06;937
2103;0;1.04e+06;945
2104;0;1.04e+06;953
2105;0;1.05e+06;960
2106;0;1.05e+06;968
2107;0;1.05e+06;975
2108;0;1.06e+06;984
2109;0;1.06e+06;993
2110;0;1.06e+06;1000
2111;0;1.06e+06;1010
2112;0;1.07e+06;1020
2113;0;1.07e+06;1020
2114;0;1.07e+06;1030
2115;0;1.07e+06;1030
2116;0;1.08e+06;1040
2117;0;1.08e+06;1040
2118;0;1.08e+06;1040
2119;0;1.09e+06;1050
2120;0;1.09e+06;1050
2121;0;1.09e+06;1060
2122;0;1.09e+06;1060
2123;0;1.09e+06;1070
2124;0;1.1e+06;1070
2125;0;1.1e+06;1070
2126;0;1.1e+06;1080
2127;0;1.1e+06;1080
2128;0;1.11e+06;1080
2129;0;1.11e+06;1090
Final;0;1.11e+06;1090
