Year;Sea level rise costs and impacts.Total fatalities due to coastal floods;Sea level rise costs and impacts.Total inundated or abandoned land[1];Sea level rise costs and impacts.Total SLR costs[1]
1980;0;17300;3.72
1981;3.74e-7;17400;3.99
1982;0.00000371;17500;4.55
1983;0.0000101;17500;5.12
1984;0.0000171;17600;5.55
1985;0.0000278;17600;6.12
1986;0.0000452;17700;6.82
1987;0.0000698;17800;7.61
1988;0.000102;17900;8.48
1989;0.000142;18000;9.45
1990;0.000193;18100;10.5
1991;0.000255;18200;11.7
1992;0.000317;18200;12.7
1993;0.000348;18300;13.3
1994;0.000384;18300;14.1
1995;0.000452;18400;15.4
1996;0.000546;18500;16.9
1997;0.000658;18600;18.6
1998;0.00079;18800;20.5
1999;0.000943;18900;22.6
2000;0.00112;19000;24.9
2001;0.00132;19200;27.4
2002;0.00154;19300;30
2003;0.00178;19500;32.8
2004;0.00205;19600;35.7
2005;0.00232;19700;38.7
2006;0.0026;19900;41.7
2007;0.0029;20000;44.8
2008;0.00321;20100;48.1
2009;0.00354;20300;51.5
2010;0.0039;20400;55.1
2011;0.0043;20600;58.9
2012;0.00473;20700;63.1
2013;0.0052;20900;67.5
2014;0.00571;21100;72.2
2015;0.00626;21300;77.3
2016;0.00686;21400;82.6
2017;0.00749;21600;88.3
2018;0.00817;21800;94.2
2019;0.00889;22000;100
2020;0.00966;22200;107
2021;0.0105;22400;114
2022;0.0113;22600;120
2023;0.0122;22900;128
2024;0.0132;23100;135
2025;0.0143;23300;143
2026;0.0138;183000;549
2027;0.0134;294000;563
2028;0.0129;378000;568
2029;0.0124;445000;568
2030;0.0118;500000;565
2031;0.0113;545000;561
2032;0.0108;584000;556
2033;0.0103;617000;553
2034;0.0098;645000;549
2035;0.00933;670000;546
2036;0.00888;692000;542
2037;0.00842;712000;539
2038;0.00798;729000;535
2039;0.00754;745000;532
2040;0.0071;759000;529
2041;0.00667;772000;526
2042;0.00624;783000;524
2043;0.00581;793000;522
2044;0.00539;803000;521
2045;0.00498;812000;520
2046;0.00458;820000;520
2047;0.00418;828000;520
2048;0.0038;835000;521
2049;0.00342;841000;522
2050;0.00305;847000;523
2051;0.00268;853000;524
2052;0.00232;859000;525
2053;0.00196;864000;527
2054;0.0016;869000;529
2055;0.00126;874000;532
2056;0.000917;879000;536
2057;0.000582;883000;541
2058;0.000252;887000;546
2059;0;892000;553
2060;0;896000;560
2061;0;900000;567
2062;0;904000;574
2063;0;907000;581
2064;0;911000;588
2065;0;915000;596
2066;0;919000;604
2067;0;922000;612
2068;0;926000;621
2069;0;929000;630
2070;0;933000;639
2071;0;936000;647
2072;0;940000;655
2073;0;943000;663
2074;0;947000;671
2075;0;950000;679
2076;0;954000;688
2077;0;957000;698
2078;0;960000;708
2079;0;964000;718
2080;0;967000;728
2081;0;971000;738
2082;0;974000;748
2083;0;977000;757
2084;0;981000;767
2085;0;984000;777
2086;0;987000;787
2087;0;991000;797
2088;0;994000;807
2089;0;997000;817
2090;0;1e+06;827
2091;0;1e+06;837
2092;0;1.01e+06;847
2093;0;1.01e+06;856
2094;0;1.01e+06;865
2095;0;1.02e+06;873
2096;0;1.02e+06;881
2097;0;1.02e+06;888
2098;0;1.03e+06;897
2099;0;1.03e+06;905
2100;0;1.03e+06;914
2101;0;1.04e+06;924
2102;0;1.04e+06;933
2103;0;1.04e+06;941
2104;0;1.04e+06;949
2105;0;1.05e+06;956
2106;0;1.05e+06;964
2107;0;1.05e+06;972
2108;0;1.06e+06;980
2109;0;1.06e+06;989
2110;0;1.06e+06;997
2111;0;1.06e+06;1010
2112;0;1.07e+06;1010
2113;0;1.07e+06;1020
2114;0;1.07e+06;1030
2115;0;1.07e+06;1030
2116;0;1.08e+06;1030
2117;0;1.08e+06;1040
2118;0;1.08e+06;1040
2119;0;1.09e+06;1040
2120;0;1.09e+06;1050
2121;0;1.09e+06;1050
2122;0;1.09e+06;1060
2123;0;1.09e+06;1060
2124;0;1.1e+06;1070
2125;0;1.1e+06;1070
2126;0;1.1e+06;1070
2127;0;1.1e+06;1080
2128;0;1.11e+06;1080
2129;0;1.11e+06;1080
Final;0;1.11e+06;1090
